name,ingredients,instructions,description
"Курица с клецками в медленноварке","4 куриных грудки без кожи и костей, 2 столовые ложки сливочного масла, 2 банки сгущенного куриного супа, 1 луковица мелко нарезанная, 2 упаковки охлажденного теста для булочек разорванного на кусочки","Положите курицу, масло, суп и лук в медленноварку и залейте водой чтобы покрыть. Накройте и готовьте 5-6 часов на высокой температуре. За 30 минут до подачи добавьте разорванное тесто для булочек в медленноварку. Готовьте пока тесто не перестанет быть сырым в центре.","простой ужин для всей семьи"
"Отличное жаркое в медленноварке","2 банки сгущенного грибного супа, 1 пакетик сухого лукового супа, 1 1/4 стакана воды, 5 1/2 фунтов жаркого","В медленноварке смешайте грибной суп, сухой луковый суп и воду. Положите жаркое в медленноварку и покройте суповой смесью. Готовьте на высокой температуре 3-4 часа или на низкой температуре 8-9 часов.","нежное мясо с грибным вкусом"
"Мясной рулет с коричневым сахаром","1/2 стакана упакованного коричневого сахара, 1/2 стакана кетчупа, 1 1/2 фунта нежирного говяжьего фарша, 3/4 стакана молока, 2 яйца, 1 1/2 чайной ложки соли, 1/4 чайной ложки молотого черного перца, 1 небольшая луковица нарезанная, 1/4 чайной ложки молотого имбиря, 3/4 стакана мелко измельченных крекеров","Разогрейте духовку до 175 градусов C. Слегка смажьте форму для хлеба размером 5x9 дюймов. Нажмите коричневый сахар на дно подготовленной формы и намажьте кетчуп поверх сахара. В миске тщательно смешайте все оставшиеся ингредиенты и сформируйте рулет. Положите поверх кетчупа. Выпекайте в разогретой духовке 1 час или до тех пор пока соки не станут прозрачными.","сладкий и сочный мясной рулет"
"Лучшие шоколадные печенья","1 стакан сливочного масла размягченного, 1 стакан белого сахара, 1 стакан упакованного коричневого сахара, 2 яйца, 2 чайные ложки ванильного экстракта, 3 стакана муки, 1 чайная ложка пищевой соды, 2 чайные ложки горячей воды, 1/2 чайной ложки соли, 2 стакана полусладких шоколадных чипсов, 1 стакан измельченных грецких орехов","Разогрейте духовку до 175 градусов C. Взбейте масло, белый и коричневый сахар до гладкости. По одному добавьте яйца, затем ваниль. Растворите пищевую соду в горячей воде и добавьте в тесто вместе с солью. Вмешайте муку, шоколадные чипсы и орехи. Выложите большими ложками на несмазанные противни. Выпекайте около 10 минут пока края не подрумянятся.","хрустящие и мягкие шоколадные печенья"
"Домашняя запеканка с макаронами и сыром","8 унций цельнозерновой пасты ротини, 3 стакана свежих брокколи, 1 средняя луковица нарезанная, 3 зубчика чеснока измельченных, 4 столовые ложки сливочного масла, 2 столовые ложки муки, 1/4 чайной ложки соли, 1/8 чайной ложки молотого черного перца, 2 1/2 стакана молока, 8 унций сыра чеддер натертого, 4 унции обезжиренного сливочного сыра нарезанного кубиками, 1/2 стакана итальянских панировочных сухарей","Разогрейте духовку до 175 градусов C. Приготовьте пасту в большой кастрюле согласно инструкции добавив брокколи за последние 3 минуты. Слейте воду верните в кастрюлю. Обжарьте лук и чеснок в 2 столовых ложках масла в большой сковороде 5-7 минут. Добавьте муку соль и перец. Влейте молоко. Готовьте помешивая до загустения. Добавьте чеддер и сливочный сыр помешивая до расплавления. Вылейте сырный соус на пасту и брокколи перемешайте. Растопите оставшиеся 2 столовые ложки масла и смешайте с панировочными сухарями. Переложите пасту в форму посыпьте масляными сухарями. Выпекайте около 25 минут пока не начнет пузыриться и внутренняя температура не достигнет 74 градусов C. Дайте постоять 10 минут перед подачей.","сырная запеканка с овощами"
"Банановый хлеб","2 стакана муки, 1 чайная ложка пищевой соды, 1/4 чайной ложки соли, 1/2 стакана сливочного масла, 3/4 стакана коричневого сахара, 2 яйца взбитых, 2 1/3 стакана пюре из перезрелых бананов","Разогрейте духовку до 175 градусов C. Слегка смажьте форму для хлеба размером 9x5 дюймов. В большой миске смешайте муку пищевую соду и соль. В отдельной миске взбейте масло и коричневый сахар. Добавьте яйца и пюре из бананов перемешайте. Влейте банановую смесь в мучную смесь перемешайте до увлажнения. Вылейте тесто в подготовленную форму. Выпекайте 60-65 минут пока зубочистка вставленная в центр не выйдет чистой. Дайте хлебу остыть в форме 10 минут затем выложите на решетку.","влажный и ароматный банановый хлеб"
"Рыбный пирог от шеф-повара Джона","Для картофельной корочки: 3 картофелины сорта Рассет очищенные и нарезанные кубиками, 3 столовые ложки сливочного масла, щепотка свеженатертого мускатного ореха, соль и молотый черный перец по вкусу, щепотка кайенского перца по вкусу, 1/2 стакана молока; Для шпината: 2 чайные ложки оливкового масла, 12 унций листьев молодого шпината; Для соуса: 3 столовые ложки сливочного масла, 3 столовые ложки муки, 2 зубчика чеснока измельченных, 2 стакана холодного молока, 2 чайные ложки цедры лимона; Для остального: 1 столовая ложка сливочного масла, соль и молотый черный перец по вкусу, щепотка кайенского перца по вкусу, 2 фунта филе трески без костей, сок половины лимона, 1 столовая ложка нарезанного свежего шнитт-лука для украшения","Доведите большую кастрюлю подсоленной воды до кипения; добавьте картофель и варите до мягкости около 20 минут. Слейте воду. Разомните с 3 столовыми ложками масла до однородности. Приправьте мускатным орехом солью черным перцем и кайенским перцем по вкусу. Разомните с 1/2 стакана молока до гладкости. В большой сковороде разогрейте оливковое масло на средне-высоком огне добавьте шпинат и приправьте солью. Готовьте помешивая пока шпинат не завянет около 1 минуты. Переложите в миску выстланную бумажными полотенцами чтобы удалить лишнюю влагу. В кастрюле разогрейте 3 столовые ложки масла и муку на среднем огне; взбейте до гладкой пасты. Готовьте постоянно помешивая пока смесь не приобретет ореховый запах и слегка не подрумянится около 2 минут. Добавьте измельченный чеснок; взбейте до появления аромата 10-20 секунд. Влейте 1 стакан холодного молока в мучную смесь; готовьте до загустения. Влейте оставшийся 1 стакан молока и цедру лимона. Доведите белый соус до слабого кипения постоянно помешивая; приправьте солью. Уменьшите огонь до очень низкого и держите соус теплым. Разогрейте духовку до 190 градусов C. Смажьте форму для запекания размером 8x12 дюймов 1 столовой ложкой масла. Приправьте смазанную форму солью черным перцем и кайенским перцем. Выложите филе трески в один слой. Приправьте верх филе солью черным перцем и кайенским перцем. Равномерно распределите шпинат по рыбе и сбрызните лимонным соком. Вылейте белый соус на шпинат; несколько раз постучите и встряхните форму чтобы удалить пузырьки. Выложите картофельное пюре ложками поверх запеканки и разровняйте. Поставьте форму на противень с бортиками. Выпекайте в разогретой духовке до появления пузырьков около 40 минут. Включите гриль и подрумяньте картофельную корочку до золотистого цвета около 2 минут. Рыба должна легко распадаться на кусочки. Дайте постоять 10 минут перед подачей. Украсьте шнитт-луком.","рыбный пирог с картофельной корочкой"
"Мамин кабачковый хлеб","3 стакана муки, 1 чайная ложка соли, 1 чайная ложка пищевой соды, 1 чайная ложка разрыхлителя, 1 столовая ложка молотой корицы, 3 яйца, 1 стакан растительного масла, 2 1/4 стакана белого сахара, 3 чайные ложки ванильного экстракта, 2 стакана тертых кабачков, 1 стакан измельченных грецких орехов","Смажьте и посыпьте мукой две формы для хлеба размером 8x4 дюйма. Разогрейте духовку до 165 градусов C. Просейте муку соль разрыхлитель пищевую соду и корицу в миске. Взбейте яйца масло ваниль и сахар в большой миске. Добавьте просеянные ингредиенты к взбитой смеси и хорошо перемешайте. Добавьте кабачки и орехи перемешайте. Вылейте тесто в подготовленные формы. Выпекайте 40-60 минут или пока тестер вставленный в центр не выйдет чистым. Остудите в форме на решетке 20 минут. Выньте хлеб из формы и дайте полностью остыть.","влажный хлеб с кабачками и орехами"
"Лучшие сахарные печенья","1 1/2 стакана сливочного масла размягченного, 2 стакана белого сахара, 4 яйца, 1 чайная ложка ванильного экстракта, 5 стаканов муки, 2 чайные ложки разрыхлителя, 1 чайная ложка соли","В большой миске взбейте масло и сахар до гладкости. По одному добавьте яйца и ваниль. Вмешайте муку разрыхлитель и соль. Накройте и охладите тесто не менее одного часа (или на ночь). Разогрейте духовку до 200 градусов C. Раскатайте тесто на посыпанной мукой поверхности толщиной 1/4-1/2 дюйма. Вырежьте фигурки любыми формами. Выложите печенья на несмазанные противни на расстоянии 1 дюйм друг от друга. Выпекайте 6-8 минут в разогретой духовке. Полностью остудите.","идеальные печенья для украшения"
"Чилийские крабы по-сингапурски","Для соуса: 1/2 стакана кетчупа, 1/2 стакана куриного бульона, 1 большое яйцо, 2 столовые ложки соевого соуса, 2 столовые ложки чили-чесночного соуса, 1 столовая ложка устричного соуса, 1 столовая ложка пасты тамаринда, 2 чайные ложки рыбного соуса, 2 чайные ложки пальмового сахара, 1/4 стакана измельченного лука-шалота, 6 зубчиков чеснока измельченных, 2 столовые ложки растительного масла, 2 столовые ложки измельченного свежего имбиря, 1 столовая ложка измельченного перца серрано, 2 приготовленных краба Дангенесс очищенных и разрезанных, 2 столовые ложки нарезанной свежей кинзы, 2 столовые ложки нарезанного зеленого лука (только зеленая часть)","Взбейте кетчуп куриный бульон яйцо соевый соус чили-чесночный соус устричный соус пасту тамаринда рыбный соус и пальмовый сахар в миске. В большой кастрюле на средне-высоком огне обжарьте лук-шалот чеснок масло имбирь и перец серрано до появления аромата около 2 минут. Добавьте крабов в кастрюлю накройте крышкой и встряхните пока крабы не покроются смесью лука-шалота. Снимите крышку и готовьте помешивая пока не прогреется около 3 минут. Влейте смесь кетчупа в кастрюлю уменьшите огонь до среднего и готовьте помешивая пока соус не загустеет а крабы не прогреются около 5 минут. Снимите с огня; добавьте кинзу и зеленый лук.","острые крабы с азиатским соусом"
